level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1466	2048	-1	
2	1	1	0	0	0	0	0	1466	1853	-1	
3	1	1	1	0	0	0	0	1466	1853	-1	
4	1	1	1	1	0	0	0	1460	38	-1	
5	1	1	1	1	1	0	0	216	38	46.834038	aa
5	1	1	1	1	2	250	0	1058	38	39.034760	OO
5	1	1	1	1	3	1452	0	8	23	59.475624	if
4	1	1	1	2	0	1457	16	2	11	-1	
5	1	1	1	2	1	1457	16	2	11	78.147194	|
4	1	1	1	3	0	0	29	1459	61	-1	
5	1	1	1	3	1	0	34	2	56	87.325676	|
5	1	1	1	3	2	1457	29	2	15	78.074219	}
4	1	1	1	4	0	1457	90	3	9	-1	
5	1	1	1	4	1	1457	90	3	9	68.971939	{
4	1	1	1	5	0	361	121	1103	52	-1	
5	1	1	1	5	1	361	125	157	40	96.702904	Lyceum
5	1	1	1	5	2	531	121	44	33	96.826317	of
5	1	1	1	5	3	582	122	58	34	96.791145	the
5	1	1	1	5	4	652	123	215	44	95.879936	Philippines
5	1	1	1	5	5	878	125	203	41	96.435036	University
5	1	1	1	5	6	1345	123	119	50	39.625698	reset
4	1	1	1	6	0	418	172	605	22	-1	
5	1	1	1	6	1	418	172	127	16	96.215698	Governor's
5	1	1	1	6	2	562	173	71	19	92.085915	Drive,
5	1	1	1	6	3	651	176	124	18	92.056946	Manggahan,
5	1	1	1	6	4	794	177	46	13	96.175552	Gen.
5	1	1	1	6	5	859	176	71	17	96.235100	Trias,
5	1	1	1	6	6	948	176	75	15	96.584366	Cavite
4	1	1	1	7	0	1459	218	7	9	-1	
5	1	1	1	7	1	1459	218	7	9	17.404053	E
4	1	1	1	8	0	275	234	895	26	-1	
5	1	1	1	8	1	275	239	66	21	92.237679	BSIT
5	1	1	1	8	2	362	245	13	3	84.562546	-
5	1	1	1	8	3	395	234	137	20	95.470963	Bachelor
5	1	1	1	8	4	552	236	32	19	96.469780	of
5	1	1	1	8	5	604	237	117	21	96.382904	Science
5	1	1	1	8	6	742	239	31	19	96.528915	in
5	1	1	1	8	7	795	238	184	19	96.719185	Information
5	1	1	1	8	8	999	237	171	23	96.582573	Technology
4	1	1	1	9	0	599	299	864	37	-1	
5	1	1	1	9	1	599	318	100	13	96.108009	Curriculum
5	1	1	1	9	2	709	321	40	11	95.982147	Year
5	1	1	1	9	3	760	319	88	13	95.982147	2022-2023
5	1	1	1	9	4	1460	299	3	37	90.873245	|
4	1	1	1	10	0	20	340	1446	41	-1	
5	1	1	1	10	1	20	340	1131	41	32.615211	ne
5	1	1	1	10	2	1170	340	155	41	0.000000	Ee
5	1	1	1	10	3	1338	340	86	41	0.000000	eeuns
5	1	1	1	10	4	1460	342	6	10	32.789848	'
4	1	1	1	11	0	35	363	1430	45	-1	
5	1	1	1	11	1	35	389	94	19	96.205795	Student
5	1	1	1	11	2	144	387	37	15	96.182602	No:
5	1	1	1	11	3	201	372	166	25	91.781563	2022-2-00447
5	1	1	1	11	4	399	371	99	17	96.632141	Student
5	1	1	1	11	5	514	372	67	17	93.241867	Name:
5	1	1	1	11	6	601	374	110	21	91.039726	SOLIMAN,
5	1	1	1	11	7	730	376	72	15	92.367096	ROJEN
5	1	1	1	11	8	817	375	86	15	96.115433	PINEDA
5	1	1	1	11	9	1092	373	56	15	96.586540	Year
5	1	1	1	11	10	1163	370	125	17	96.501427	Admitted:
5	1	1	1	11	11	1308	363	129	21	96.542740	2022-2023
5	1	1	1	11	12	1460	366	5	26	56.176117	f
4	1	1	1	12	0	20	400	1445	40	-1	
5	1	1	1	12	1	20	409	102	31	24.667656	aa
5	1	1	1	12	2	1461	400	4	16	62.672821	{
4	1	1	1	13	0	707	460	759	24	-1	
5	1	1	1	13	1	707	467	78	17	96.087410	First
5	1	1	1	13	2	801	468	63	16	96.320740	Year
5	1	1	1	13	3	1461	460	5	21	7.399864	'
4	1	1	1	14	0	258	495	1208	36	-1	
5	1	1	1	14	1	258	496	76	35	84.536140	First
5	1	1	1	14	2	348	496	126	35	84.536140	Semester
5	1	1	1	14	3	1014	498	85	17	96.404396	Second
5	1	1	1	14	4	1115	499	112	15	96.484505	Semester
5	1	1	1	14	5	1462	495	4	5	11.914146	{
4	1	1	1	15	0	34	520	1432	38	-1	
5	1	1	1	15	1	34	543	42	15	91.168129	1.25
5	1	1	1	15	2	84	541	57	14	49.093891	a22-23
5	1	1	1	15	3	170	534	78	17	41.488144	CPHNO1C
5	1	1	1	15	4	297	531	70	15	96.445679	Quality
5	1	1	1	15	5	378	531	138	14	96.430603	Consciousness,
5	1	1	1	15	6	531	532	89	12	96.618462	Processes
5	1	1	1	15	7	674	532	9	13	96.985092	3
5	1	1	1	15	8	776	531	43	14	92.320648	1.25
5	1	1	1	15	9	829	532	59	12	77.811829	B22-23
5	1	1	1	15	10	930	529	79	14	89.800270	DCSNO7C
5	1	1	1	15	11	1047	529	59	12	94.796143	Social
5	1	1	1	15	12	1119	530	57	11	96.140572	Issues
5	1	1	1	15	13	1188	530	29	11	96.677956	and
5	1	1	1	15	14	1229	527	119	14	96.257751	Professional
5	1	1	1	15	15	1425	522	8	13	75.026611	3
5	1	1	1	15	16	1463	520	3	22	90.164459	4
4	1	1	1	16	0	297	556	830	15	-1	
5	1	1	1	16	1	297	559	30	12	96.858131	and
5	1	1	1	16	2	337	558	60	12	96.766312	Habits
5	1	1	1	16	3	1048	556	79	12	96.276031	Practice
4	1	1	1	17	0	33	576	1401	34	-1	
5	1	1	1	17	1	33	596	42	14	60.385593	1.50
5	1	1	1	17	2	84	594	57	14	41.838486	A22-23
5	1	1	1	17	3	170	587	78	16	59.292801	DCSNO1C
5	1	1	1	17	4	308	585	120	13	95.718407	Introduction
5	1	1	1	17	5	440	586	19	11	96.798737	to
5	1	1	1	17	6	470	586	90	15	96.652534	Computing
5	1	1	1	17	7	675	585	8	14	96.970398	3
5	1	1	1	17	8	777	584	43	14	96.367813	1.50
5	1	1	1	17	9	831	585	58	13	0.000000	822-23
5	1	1	1	17	10	920	583	79	14	83.940933	DCSNO3C
5	1	1	1	17	11	1048	584	80	14	96.730270	Computer
5	1	1	1	17	12	1140	582	109	15	96.283714	Programming
5	1	1	1	17	13	1260	582	8	12	96.686310	2
5	1	1	1	17	14	1425	576	9	13	96.946999	3
4	1	1	1	18	0	33	600	1433	37	-1	
5	1	1	1	18	1	33	622	42	15	90.763229	1.25
5	1	1	1	18	2	84	620	57	14	14.592728	a22-23
5	1	1	1	18	3	170	610	78	26	41.605412	DcsNo2Cc
5	1	1	1	18	4	308	613	79	14	96.333267	Computer
5	1	1	1	18	5	400	612	110	15	96.653412	Programming
5	1	1	1	18	6	522	613	7	12	96.938393	1
5	1	1	1	18	7	675	613	9	13	96.581177	3
5	1	1	1	18	8	777	611	44	14	94.783997	1.00
5	1	1	1	18	9	830	612	59	12	64.942932	522-23
5	1	1	1	18	10	919	610	80	14	71.034042	ENGLO1G
5	1	1	1	18	11	1049	610	89	15	91.444733	Purposive
5	1	1	1	18	12	1149	609	130	12	96.520622	Communication
5	1	1	1	18	13	1426	603	9	13	68.432129	3
5	1	1	1	18	14	1464	600	2	10	67.163635	4
4	1	1	1	19	0	34	624	1432	39	-1	
5	1	1	1	19	1	34	649	41	14	79.541275	1.25
5	1	1	1	19	2	84	646	57	14	43.222778	422-23
5	1	1	1	19	3	171	641	78	15	62.600006	ETHNOIG
5	1	1	1	19	4	272	636	17	33	7.679291	=
5	1	1	1	19	5	298	640	59	12	7.679291	-Fthics
5	1	1	1	19	6	676	639	8	14	96.884834	3
5	1	1	1	19	7	778	639	44	13	94.056313	1.25
5	1	1	1	19	8	832	639	59	12	76.665222	22-23
5	1	1	1	19	9	921	636	79	14	76.665222	HUMNO2G
5	1	1	1	19	10	1021	627	17	33	61.264400	=
5	1	1	1	19	11	1049	638	30	11	57.388107	Art
5	1	1	1	19	12	1089	636	120	15	94.635132	Appreciation
5	1	1	1	19	13	1427	630	9	13	65.783600	3
4	1	1	1	20	0	34	657	1402	32	-1	
5	1	1	1	20	1	34	675	42	14	84.525093	1.00
5	1	1	1	20	2	84	673	57	14	42.166367	a22-23
5	1	1	1	20	3	170	668	78	15	69.234383	JPLNO1G
5	1	1	1	20	4	298	668	30	11	0.000000	JPL
5	1	1	1	20	5	339	666	39	13	96.656693	Life
5	1	1	1	20	6	390	666	30	12	96.220734	and
5	1	1	1	20	7	431	666	29	12	96.220734	His
5	1	1	1	20	8	471	667	49	12	92.929008	Works
5	1	1	1	20	9	533	666	8	14	92.929008	/
5	1	1	1	20	10	553	668	37	12	95.880646	JPL:
5	1	1	1	20	11	676	667	9	13	96.991318	3
