university_key,scale_type,higher_is_better,highest_value,passing_value,is_active
DLSU_DASMARINAS,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
DLSL_LIPA,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
MCL,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
UA&P,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
ACSL,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
ADMU_NUVALI,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
MC_NUVALI,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
NU_LAGUNA,NUMERIC_0_TO_4,TRUE,4.00,1.00,TRUE
BSU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
CVSU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
LPU_CAVITE,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
LPU_BATANGAS,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
PUP,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
TUP,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
PLM,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
UP_DILIMAN,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
ADMU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
DLSU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
UST,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
FEU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
NU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
MAPUA,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
ADAMSON,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
UE,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
LETRAN,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
SBC,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
CSB,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
MIRIAM,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
SLU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
